Dataset:name:Zebrafish Embryo	Sagittal section color	/uod/idr/filesets/idr0053-faas-virtualnanoscopy/20181128-ftp/figures_jcb_submission_faas_et_al/fig1/fig1a.tif
Dataset:name:Zebrafish Embryo	Sagittal section	/uod/idr/filesets/idr0053-faas-virtualnanoscopy/20181128-ftp/figures_jcb_submission_faas_et_al/fig1/fig1.tif
Dataset:name:Mouse Fibroblast	Unstained	/uod/idr/filesets/idr0053-faas-virtualnanoscopy/20181128-ftp/Faas-Ravelli_Figure_4/MEFS_cryo.tif
Dataset:name:Mouse Glomerulus	DAB precip	/uod/idr/filesets/idr0053-faas-virtualnanoscopy/20181128-ftp/figures_jcb_submission_faas_et_al/fig5/fig5.tif
Dataset:name:Human Dendritic	Immunogold	/uod/idr/filesets/idr0053-faas-virtualnanoscopy/20181128-ftp/figures_jcb_submission_faas_et_al/fig6/fig6.tif
